NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WARD,CITIZENSHIP_CANADIAN_CITIZEN,CITIZENSHIP_NON_CANADIAN_CITIZEN,CITIZENSHIP_NO_RESPONSE,CITY_RESOURCE_ACCESS_CITY_WEBSITE,CITY_RESOURCE_ACCESS_311_PHONE_IN,CITY_RESOURCE_ACCESS_NEWSPAPERS,CITY_RESOURCE_ACCESS_RADIO,CITY_RESOURCE_ACCESS_COMMUNITY_NEWSLETTER,CITY_RESOURCE_ACCESS_SOCIAL_MEDIA,CITY_RESOURCE_ACCESS_IN_PERSON,CITY_RESOURCE_ACCESS_BILLBOARDS,CITY_RESOURCE_ACCESS_PAMPHLETS,CITY_RESOURCE_ACCESS_OTHER,CITY_RESOURCE_ACCESS_NO_RESPONSE,DWELLING_UNIT_OWNERSHIP_OWNED,DWELLING_UNIT_OWNERSHIP_RENTED,DWELLING_UNIT_OWNERSHIP_NO_RESPONSE,DWELLING_UNIT_STATUS_OCCUPIED,DWELLING_UNIT_STATUS_UNOCCUPIED,DWELLING_UNIT_STATUS_NO_LONGER_IN_USE,DWELLING_UNIT_STATUS_NO_RESPONSE,EMPLOYMENT_STATUS_PRESCHOOL,EMPLOYMENT_STATUS_KINDERGARTEN-GR.6,EMPLOYMENT_STATUS_GR.7-GR.9,EMPLOYMENT_STATUS_GR.10-GR.12,EMPLOYMENT_STATUS_POST_SECONDARY_STUDENT,EMPLOYMENT_STATUS_HOMEMAKER,EMPLOYMENT_STATUS_EMPLOYED_0-30_HRS,EMPLOYMENT_STATUS_EMPLOYED_30+_HRS,EMPLOYMENT_STATUS_UNEMPLOYED,EMPLOYMENT_STATUS_RETIRED,EMPLOYMENT_STATUS_PERMANENTLY_UNABLE_TO_WORK,EMPLOYMENT_STATUS_NO_RESPONSE,HOUSEHOLD_LANGUAGE_ENGLISH_ONLY,HOUSEHOLD_LANGUAGE_ARABIC,HOUSEHOLD_LANGUAGE_CANTONESE,HOUSEHOLD_LANGUAGE_FRENCH,HOUSEHOLD_LANGUAGE_GERMAN,HOUSEHOLD_LANGUAGE_MANDARIN,HOUSEHOLD_LANGUAGE_PANJABI_PUNJABI,HOUSEHOLD_LANGUAGE_SPANISH,HOUSEHOLD_LANGUAGE_TAGALOG_PILIPINO_FILIPINO,HOUSEHOLD_LANGUAGE_UKRAINIAN,HOUSEHOLD_LANGUAGE_OTHER,HOUSEHOLD_LANGUAGE_NO_RESPONSE,CAR/TRUCK/VAN_AS_DRIVER,PRIMARY_TRANSPORTATION_CAR/TRUCK/VAN_AS_PASSENGER,PRIMARY_TRANSPORTATION_TRANSIT,PRIMARY_TRANSPORTATION_WALK,PRIMARY_TRANSPORTATION_BICYCLE,PRIMARY_TRANSPORTATION_OTHER,PRIMARY_TRANSPORTATION_NO_RESPONSE,MARITAL_STATUS_MARRIED,MARITAL_STATUS_COMMON-LAW,MARITAL_STATUS_SEPARATED/DIVORCED,MARITAL_STATUS_NEVER_MARRIED,MARITAL_STATUS_WIDOWED,MARITAL_STATUS_NO_RESPONSE,PREVIOUS_RESIDENCE_ELSEWHERE_IN_EDMONTON,PREVIOUS_RESIDENCE_ELSEWHERE_IN_ALBERTA,PREVIOUS_RESIDENCE_ATLANTIC_CANADA,PREVIOUS_RESIDENCE_ONTARIO/QUEBEC,PREVIOUS_RESIDENCE_TERRITORIES/MANITOBA/SASKATCHEWAN,PREVIOUS_RESIDENCE_BRITISH_COLUMBIA,PREVIOUS_RESIDENCE_OUTSIDE_CANADA,PREVIOUS_RESIDENCE_NO_RESPONSE,SCHOOL_RESIDENCY_PUBLIC,SCHOOL_RESIDENCY_CATHOLIC,SCHOOL_RESIDENCY_NO_RESPONSE,STRUCTURE_TYPE_SINGLE_DETACHED_HOUSE,STRUCTURE_TYPE_DUPLEX/FOURPLEX,STRUCTURE_TYPE_ROW_HOUSE,STRUCTURE_TYPE_APARTMENT_5+_STORIES,STRUCTURE_TYPE_APARTMENT_1-4_STORIES,STRUCTURE_TYPE_MANUFACTURED/MOBILE_HOME,STRUCTURE_TYPE_INSTITUTION/COLLECTIVE_RESIDENCE,STRUCTURE_TYPE_HOTEL/MOTEL,STRUCTURE_TYPE_RV/TENT/OTHER,STRUCTURE_TYPE_NO_RESPONSE,TERM_OF_RESIDENCE_5_YEARS_OR_MORE,TERM_OF_RESIDENCE_3_YEARS_TO_LESS_THAN_5_YEARS,TERM_OF_RESIDENCE_1_YEAR_TO_LESS_THAN_3_YEARS,TERM_OF_RESIDENCE_LESS_THAN_1_YEAR,TERM_OF_RESIDENCE_CHILD_LESS_THAN_1_YEAR,TERM_OF_RESIDENCE_NO_RESPONSE,AGE_0 FEMALE,AGE_0 MALE,AGE_1 FEMALE,AGE_1 MALE,AGE_10 FEMALE,AGE_10 MALE,AGE_11 FEMALE,AGE_11 MALE,AGE_12 FEMALE,AGE_12 MALE,AGE_13 FEMALE,AGE_13 MALE,AGE_14 FEMALE,AGE_14 MALE,AGE_15 FEMALE,AGE_15 MALE,AGE_16 FEMALE,AGE_16 MALE,AGE_17 FEMALE,AGE_17 MALE,AGE_18 FEMALE,AGE_18 MALE,AGE_19 FEMALE,AGE_19 MALE,AGE_2 FEMALE,AGE_2 MALE,AGE_20 FEMALE,AGE_20 MALE,AGE_21 FEMALE,AGE_21 MALE,AGE_22 FEMALE,AGE_22 MALE,AGE_23 FEMALE,AGE_23 MALE,AGE_24 FEMALE,AGE_24 MALE,AGE_25 FEMALE,AGE_25 MALE,AGE_26 FEMALE,AGE_26 MALE,AGE_27 FEMALE,AGE_27 MALE,AGE_28 FEMALE,AGE_28 MALE,AGE_29 FEMALE,AGE_29 MALE,AGE_3 FEMALE,AGE_3 MALE,AGE_30 FEMALE,AGE_30 MALE,AGE_31 FEMALE,AGE_31 MALE,AGE_32 FEMALE,AGE_32 MALE,AGE_33 FEMALE,AGE_33 MALE,AGE_34 FEMALE,AGE_34 MALE,AGE_35 FEMALE,AGE_35 MALE,AGE_36 FEMALE,AGE_36 MALE,AGE_37 FEMALE,AGE_37 MALE,AGE_38 FEMALE,AGE_38 MALE,AGE_39 FEMALE,AGE_39 MALE,AGE_4 FEMALE,AGE_4 MALE,AGE_40 FEMALE,AGE_40 MALE,AGE_41 FEMALE,AGE_41 MALE,AGE_42 FEMALE,AGE_42 MALE,AGE_43 FEMALE,AGE_43 MALE,AGE_44 FEMALE,AGE_44 MALE,AGE_45 FEMALE,AGE_45 MALE,AGE_46 FEMALE,AGE_46 MALE,AGE_47 FEMALE,AGE_47 MALE,AGE_48 FEMALE,AGE_48 MALE,AGE_49 FEMALE,AGE_49 MALE,AGE_5 FEMALE,AGE_5 MALE,AGE_50 FEMALE,AGE_50 MALE,AGE_51 FEMALE,AGE_51 MALE,AGE_52 FEMALE,AGE_52 MALE,AGE_53 FEMALE,AGE_53 MALE,AGE_54 FEMALE,AGE_54 MALE,AGE_55 FEMALE,AGE_55 MALE,AGE_56 FEMALE,AGE_56 MALE,AGE_57 FEMALE,AGE_57 MALE,AGE_58 FEMALE,AGE_58 MALE,AGE_59 FEMALE,AGE_59 MALE,AGE_6 FEMALE,AGE_6 MALE,AGE_60 FEMALE,AGE_60 MALE,AGE_61 FEMALE,AGE_61 MALE,AGE_62 FEMALE,AGE_62 MALE,AGE_63 FEMALE,AGE_63 MALE,AGE_64 FEMALE,AGE_64 MALE,AGE_65 FEMALE,AGE_65 MALE,AGE_66 FEMALE,AGE_66 MALE,AGE_67 FEMALE,AGE_67 MALE,AGE_68 FEMALE,AGE_68 MALE,AGE_69 FEMALE,AGE_69 MALE,AGE_7 FEMALE,AGE_7 MALE,AGE_70 FEMALE,AGE_70 MALE,AGE_71 FEMALE,AGE_71 MALE,AGE_72 FEMALE,AGE_72 MALE,AGE_73 FEMALE,AGE_73 MALE,AGE_74 FEMALE,AGE_74 MALE,AGE_75 FEMALE,AGE_75 MALE,AGE_76 FEMALE,AGE_76 MALE,AGE_77 FEMALE,AGE_77 MALE,AGE_78 FEMALE,AGE_78 MALE,AGE_79 FEMALE,AGE_79 MALE,AGE_8 FEMALE,AGE_8 MALE,AGE_80 FEMALE,AGE_80 MALE,AGE_81 FEMALE,AGE_81 MALE,AGE_82 FEMALE,AGE_82 MALE,AGE_83 FEMALE,AGE_83 MALE,AGE_84 FEMALE,AGE_84 MALE,AGE_85+ FEMALE,AGE_85+ MALE,AGE_9 FEMALE,AGE_9 MALE,AGE_No Response FEMALE,AGE_No Response MALE
2010,ABBOTTSFIELD,Ward 7,1307,261,321,192,178,105,141,51,216,18,27,36,93,122,176,493,39,708,18,9,0,105,207,78,79,42,84,105,654,113,91,56,275,452,9,9,17,1,6,7,16,4,1,102,84,515,55,168,22,1,7,364,447,119,142,864,39,278,146,61,4,12,8,11,24,135,992,316,581,0,0,483,0,252,0,0,0,0,0,514,305,376,401,30,263,14,12,15,8,11,15,17,13,11,4,17,13,12,11,12,11,8,10,11,8,9,12,3,9,15,18,7,6,6,8,12,6,4,10,13,6,2,8,13,8,12,11,15,15,16,15,16,11,15,7,16,10,12,16,18,14,20,9,16,17,14,22,9,13,12,14,19,11,11,16,17,13,9,12,5,13,6,10,11,9,14,10,14,14,7,7,7,7,8,4,10,19,7,11,12,7,8,15,4,4,2,10,7,7,4,4,7,5,9,6,10,7,16,15,6,10,6,8,6,7,4,3,6,4,3,6,5,4,3,2,0,1,2,1,16,19,3,3,3,4,3,3,0,1,2,0,0,0,2,0,1,0,0,1,0,0,14,13,1,0,1,0,0,1,1,0,1,0,4,2,15,9,221,225
3460,ALBANY,Ward 2,453,68,104,155,29,32,27,4,17,3,12,11,79,41,105,102,39,246,24,3,0,52,46,10,11,8,32,10,325,9,10,3,109,139,23,1,6,0,1,3,7,3,1,23,39,288,22,14,3,1,9,69,206,41,33,127,5,213,165,40,1,21,7,5,11,12,146,52,427,101,0,59,0,113,0,0,0,0,0,0,8,228,262,14,113,5,10,7,2,2,3,4,2,2,4,2,2,1,1,2,3,2,2,3,0,2,2,3,4,9,4,2,1,4,5,13,3,4,4,10,6,11,9,14,18,13,12,7,13,15,8,2,5,10,8,8,8,8,9,5,2,1,7,4,6,4,3,2,6,2,7,3,6,6,4,3,4,3,1,1,5,2,2,1,1,1,2,4,0,1,1,2,1,2,3,5,3,2,4,5,1,1,2,1,2,3,1,1,2,3,1,1,1,2,1,3,3,7,3,0,2,0,1,0,1,2,0,0,1,2,0,0,1,0,0,0,0,1,0,5,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,1,7,49,59
1010,ALBERTA AVENUE,Ward 7,5255,541,769,1343,939,626,510,418,413,197,200,413,390,480,1485,1074,297,2856,310,603,0,295,315,159,171,243,179,396,2797,352,640,271,747,1794,18,124,64,11,16,0,53,49,22,323,382,2189,262,837,140,71,80,1000,1745,508,581,2733,193,805,587,129,13,67,11,33,46,81,3936,1418,1211,2945,226,67,0,496,0,34,0,1,0,2781,791,979,967,43,1004,28,13,28,23,14,28,24,20,21,19,25,36,24,19,24,18,22,30,23,25,42,38,31,31,35,28,36,38,37,41,34,32,43,44,36,51,40,46,59,52,38,53,43,45,44,67,32,28,36,60,36,44,51,49,39,42,46,47,36,40,45,59,36,46,39,41,37,44,18,37,33,31,42,32,32,44,44,50,43,32,44,42,38,35,32,48,36,43,37,57,16,25,48,38,33,52,38,52,37,54,46,48,44,41,43,41,41,48,43,51,24,38,25,21,36,50,21,37,23,25,26,22,22,21,19,29,24,22,22,20,17,16,14,19,30,27,20,14,13,21,20,13,6,6,9,13,11,12,16,10,12,10,9,15,11,6,21,15,9,12,10,6,11,5,6,7,7,7,32,28,26,19,505,745
4010,ALBERTA PARK INDUSTRIAL,Ward 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4020,ALDERGROVE,Ward 1,4157,689,504,879,443,495,325,162,371,71,141,192,199,266,1113,611,211,1935,42,5,0,304,358,155,178,236,211,357,2366,125,475,53,532,1211,19,37,39,11,28,7,25,107,16,179,256,2170,209,563,76,9,97,851,2078,270,217,2088,137,560,458,59,10,58,14,14,94,36,3465,1023,862,1108,0,398,0,476,0,0,0,0,0,2540,621,793,743,53,600,33,20,28,27,22,27,32,32,25,16,21,30,25,31,28,27,28,28,25,39,36,37,42,39,30,37,44,36,42,44,31,38,31,33,38,38,38,41,40,39,37,31,32,34,47,27,36,35,32,35,40,43,28,39,42,43,32,37,30,31,31,36,28,32,32,37,25,31,28,29,35,26,19,21,29,37,30,26,37,23,21,21,36,30,24,30,40,23,32,27,25,26,39,37,40,28,33,25,49,39,34,42,39,37,49,41,35,39,39,51,36,33,28,28,32,29,21,32,35,25,18,30,26,23,23,20,13,18,22,22,12,13,11,17,20,20,15,15,15,13,13,7,18,4,5,10,5,9,6,8,5,7,6,1,10,2,30,22,5,5,7,11,7,5,4,3,2,9,26,12,28,22,336,389
5458,ALLARD,Ward 9,958,271,241,289,77,103,96,71,89,32,35,55,24,92,390,16,83,489,76,0,0,79,98,35,45,51,89,66,634,27,46,0,300,194,4,30,9,2,54,4,10,17,1,76,88,637,39,149,0,0,11,129,654,73,20,283,14,426,322,46,3,13,0,6,8,15,709,207,554,561,4,0,0,0,0,0,0,0,0,43,100,592,413,24,298,18,16,21,25,5,5,8,3,4,8,6,6,4,7,6,8,9,8,3,7,6,8,6,4,12,13,5,5,3,8,7,8,7,6,10,8,13,4,15,5,16,12,10,16,25,17,14,15,18,16,19,26,14,16,21,22,14,15,11,11,10,16,16,23,7,12,7,6,11,13,9,11,8,11,9,10,9,7,14,11,4,7,7,7,5,7,5,14,9,4,2,10,7,14,3,8,4,4,4,6,6,5,5,3,1,4,6,5,0,6,3,1,10,11,1,3,6,1,3,3,4,2,2,1,1,3,2,1,2,2,0,1,2,0,6,8,1,1,0,1,0,1,2,0,1,0,1,1,1,0,0,1,0,0,1,0,13,6,0,3,1,1,0,1,0,0,0,0,2,1,3,8,157,133
5010,ALLENDALE,Ward 10,2134,233,497,680,234,258,216,164,121,34,66,174,91,293,473,697,134,1304,94,127,0,94,121,50,67,224,71,139,1245,95,264,40,454,848,8,16,32,17,16,6,17,17,22,50,255,1010,62,348,83,77,21,458,627,210,181,1170,87,589,354,63,6,28,11,14,34,18,1284,336,1244,1112,180,6,0,223,0,2,0,2,0,923,359,490,528,16,548,12,12,12,13,4,12,19,8,6,7,8,11,10,8,11,11,3,13,13,13,8,10,16,17,12,10,27,13,15,22,16,28,23,19,29,36,32,45,28,29,30,33,23,37,25,29,12,5,18,33,24,20,11,21,21,24,17,15,11,16,8,15,18,23,15,14,13,11,4,7,15,14,6,12,11,13,17,11,13,15,11,16,15,13,18,15,12,17,16,20,6,3,14,19,13,15,15,11,8,23,13,16,9,13,14,13,11,18,13,10,6,7,9,4,8,12,11,6,7,6,9,8,8,8,6,11,10,11,13,9,9,8,10,2,10,7,15,7,4,5,11,7,5,8,4,5,5,5,1,2,4,3,3,3,5,2,6,5,5,5,4,0,4,4,1,4,4,3,24,8,8,8,316,396
5505,AMBLESIDE,Ward 9,2632,363,497,939,220,239,236,79,190,46,95,154,83,263,1110,118,245,1473,359,5,0,322,214,53,39,88,136,141,1801,39,116,12,531,765,15,65,53,9,69,17,29,36,5,147,263,1782,107,196,36,1,54,198,1384,235,130,1209,27,507,418,90,4,16,9,17,40,31,1981,728,783,706,223,98,0,810,0,0,0,0,0,189,1153,959,625,62,504,30,31,46,51,15,14,8,17,6,6,16,10,7,6,6,6,7,10,5,4,10,6,12,4,30,33,13,10,6,11,22,20,20,17,28,26,30,23,28,33,40,36,59,36,48,58,25,33,56,60,67,44,44,57,65,54,39,44,37,44,31,36,42,23,28,39,20,34,31,32,17,26,21,21,17,29,23,16,18,23,13,20,16,18,15,13,11,12,11,17,22,27,7,12,13,8,9,14,13,14,9,14,4,11,11,14,17,7,9,9,9,5,15,18,9,8,10,5,6,8,12,6,4,8,7,5,6,7,3,4,2,3,2,5,20,14,4,2,2,3,2,8,3,2,2,0,2,2,0,0,1,0,3,0,1,1,13,16,0,1,0,0,0,0,0,0,0,0,2,0,12,9,328,326
4011,ANTHONY HENDAY,Ward 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,ANTHONY HENDAY BIG LAKE,Ward 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
